17:21:29.451532 IP 192.168.3.11.62813 > 8.8.4.4.443: Flags [S], seq 656960358, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
17:21:29.585993 IP 192.168.3.11.58225 > 157.240.212.60.5222: Flags [S], seq 226525373, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
17:21:29.609566 IP 192.168.3.11.64558 > 157.240.212.60.443: Flags [S], seq 4031121840, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
17:21:29.654911 IP 192.168.3.11.54875 > 157.240.212.60.443: Flags [S], seq 1109573408, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
17:21:40.252054 IP 192.168.3.11.53339 > 154.144.233.100.443: Flags [S], seq 1264778714, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
17:21:45.325455 IP 192.168.3.53.33486 > 192.168.3.50.23: Flags [S], seq 359596277, win 1024, options [mss 1460], length 0
17:21:45.325455 IP 192.168.3.53.33486 > 192.168.3.50.1723: Flags [S], seq 359596277, win 1024, options [mss 1460], length 0
17:21:45.325455 IP 192.168.3.53.33486 > 192.168.3.50.445: Flags [S], seq 359596277, win 1024, options [mss 1460], length 0
17:21:45.325455 IP 192.168.3.53.33486 > 192.168.3.50.139: Flags [S], seq 359596277, win 1024, options [mss 1460], length 0
17:21:45.325455 IP 192.168.3.53.33486 > 192.168.3.50.1025: Flags [S], seq 359596277, win 1024, options [mss 1460], length 0
17:21:45.325456 IP 192.168.3.53.33486 > 192.168.3.50.256: Flags [S], seq 359596277, win 1024, options [mss 1460], length 0
17:21:45.325456 IP 192.168.3.53.33486 > 192.168.3.50.554: Flags [S], seq 359596277, win 1024, options [mss 1460], length 0
17:21:45.325456 IP 192.168.3.53.33486 > 192.168.3.50.113: Flags [S], seq 359596277, win 1024, options [mss 1460], length 0
17:21:45.325928 IP 192.168.3.53.33486 > 192.168.3.50.21: Flags [S], seq 359596277, win 1024, options [mss 1460], length 0
17:21:45.325928 IP 192.168.3.53.33486 > 192.168.3.50.8080: Flags [S], seq 359596277, win 1024, options [mss 1460], length 0
17:21:46.427154 IP 192.168.3.53.33488 > 192.168.3.50.8080: Flags [S], seq 359465207, win 1024, options [mss 1460], length 0
17:21:46.427155 IP 192.168.3.53.33488 > 192.168.3.50.21: Flags [S], seq 359465207, win 1024, options [mss 1460], length 0
17:21:46.427155 IP 192.168.3.53.33488 > 192.168.3.50.113: Flags [S], seq 359465207, win 1024, options [mss 1460], length 0
17:21:46.427155 IP 192.168.3.53.33488 > 192.168.3.50.554: Flags [S], seq 359465207, win 1024, options [mss 1460], length 0
17:21:46.427155 IP 192.168.3.53.33488 > 192.168.3.50.256: Flags [S], seq 359465207, win 1024, options [mss 1460], length 0
17:21:46.427155 IP 192.168.3.53.33488 > 192.168.3.50.1025: Flags [S], seq 359465207, win 1024, options [mss 1460], length 0
17:21:46.428165 IP 192.168.3.53.33488 > 192.168.3.50.139: Flags [S], seq 359465207, win 1024, options [mss 1460], length 0
17:21:46.428165 IP 192.168.3.53.33488 > 192.168.3.50.445: Flags [S], seq 359465207, win 1024, options [mss 1460], length 0
17:21:46.428165 IP 192.168.3.53.33488 > 192.168.3.50.1723: Flags [S], seq 359465207, win 1024, options [mss 1460], length 0
17:21:46.428165 IP 192.168.3.53.33488 > 192.168.3.50.23: Flags [S], seq 359465207, win 1024, options [mss 1460], length 0
17:21:46.567893 IP 192.168.3.53.33486 > 192.168.3.50.135: Flags [S], seq 359596277, win 1024, options [mss 1460], length 0
17:21:46.569041 IP 192.168.3.53.33486 > 192.168.3.50.3306: Flags [S], seq 359596277, win 1024, options [mss 1460], length 0
17:21:46.569042 IP 192.168.3.53.33486 > 192.168.3.50.80: Flags [S], seq 359596277, win 1024, options [mss 1460], length 0
17:21:46.569209 IP 192.168.3.53.33486 > 192.168.3.50.143: Flags [S], seq 359596277, win 1024, options [mss 1460], length 0
17:21:46.569452 IP 192.168.3.53.33486 > 192.168.3.50.993: Flags [S], seq 359596277, win 1024, options [mss 1460], length 0
17:21:46.569452 IP 192.168.3.53.33486 > 192.168.3.50.53: Flags [S], seq 359596277, win 1024, options [mss 1460], length 0
17:21:46.569970 IP 192.168.3.53.33486 > 192.168.3.50.199: Flags [S], seq 359596277, win 1024, options [mss 1460], length 0
17:21:46.569970 IP 192.168.3.53.33486 > 192.168.3.50.111: Flags [S], seq 359596277, win 1024, options [mss 1460], length 0
17:21:46.569970 IP 192.168.3.53.33486 > 192.168.3.50.22: Flags [S], seq 359596277, win 1024, options [mss 1460], length 0
17:21:46.570307 IP 192.168.3.53.33486 > 192.168.3.50.25: Flags [S], seq 359596277, win 1024, options [mss 1460], length 0
17:21:46.589978 IP 192.168.3.53.33486 > 192.168.3.50.995: Flags [S], seq 359596277, win 1024, options [mss 1460], length 0
